group,# samples,mean redshift,subset
1,4085,0.5876447069601436,source
1,12515,0.5871282327714131,target
2,4042,0.9260525402280115,source
2,12558,0.9112707489775158,target
3,4002,1.0184890531987951,source
3,12598,1.0144538784142407,target
4,3975,1.1289160106522993,source
4,12625,1.1274661081508999,target
5,3896,1.3919983004840681,source
5,12704,1.4050091840411885,target
0,20000,1.0065146353732104,source
0,63000,1.0104005420400135,target
