ks,smd
"(ks_all = Dict{Any, Any}(""ug"" => 0.010612381421364057, ""gr"" => 0.010562698079318067, ""r"" => 0.012022097350987937, ""ri"" => 0.014812090852055204, ""iz"" => 0.009558762043686978, ""zy"" => 0.014536974235569019), mean = 0.012017500663830212, sd = 0.0022042553743149753)","(smd = Dict{Any, Any}(""ug"" => 0.008805918893759144, ""gr"" => 0.0008615012988824506, ""r"" => 0.006971611896524321, ""ri"" => 0.020136070478633052, ""iz"" => 0.00609264616636854, ""zy"" => 0.007719997882839709), mean = 0.008431291102834535, sd = 0.0063647432856772995)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.016742502812677848, ""gr"" => 0.015072783708627862, ""r"" => 0.015643948447338716, ""ri"" => 0.01593882958037387, ""iz"" => 0.016043913490293125, ""zy"" => 0.02068143546748819), mean = 0.016687235584466605, sd = 0.0020310374169745533)","(smd = Dict{Any, Any}(""ug"" => 0.006803982895498646, ""gr"" => 0.006089797409299382, ""r"" => 0.019193650118194766, ""ri"" => 0.013318623646167295, ""iz"" => 0.014431377129357636, ""zy"" => 0.03462140856951221), mean = 0.01574313996133832, sd = 0.010478450253253927)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.008416691796980532, ""gr"" => 0.012419413408077, ""r"" => 0.016049206703205483, ""ri"" => 0.014133590451956496, ""iz"" => 0.012259071289883072, ""zy"" => 0.017168864369211535), mean = 0.013407806336552355, sd = 0.003125925563406461)","(smd = Dict{Any, Any}(""ug"" => 0.001289345352114962, ""gr"" => 0.006821684837966754, ""r"" => 0.016049135699904436, ""ri"" => 0.020159570074471313, ""iz"" => 0.0006966541498732494, ""zy"" => 0.007206557681377868), mean = 0.008703824632618097, sd = 0.00787478557135846)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.010061398592689308, ""gr"" => 0.02087950681860637, ""r"" => 0.008408991842581159, ""ri"" => 0.02633787907092633, ""iz"" => 0.01596263777321132, ""zy"" => 0.015441061087240754), mean = 0.01618191253087587, sd = 0.006688601911157274)","(smd = Dict{Any, Any}(""ug"" => 0.00904443138642612, ""gr"" => 0.008278301550996228, ""r"" => 0.005366637059958684, ""ri"" => 0.008289708166155397, ""iz"" => 0.0004838046756971873, ""zy"" => 0.015395871289193433), mean = 0.007809792354737842, sd = 0.004881840850729347)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.01069769291245018, ""gr"" => 0.009418204552625613, ""r"" => 0.013525627266097507, ""ri"" => 0.023960666239092515, ""iz"" => 0.02369736576686683, ""zy"" => 0.02171816731233754), mean = 0.017169620674911696, sd = 0.006703253257635433)","(smd = Dict{Any, Any}(""ug"" => 0.002330907361501273, ""gr"" => 0.01124794691059054, ""r"" => 0.011187413226038145, ""ri"" => 0.028790961029987024, ""iz"" => 0.02499820133374433, ""zy"" => 0.029658372521626432), mean = 0.01803563373058129, sd = 0.011303554456219706)"
