group,# samples,mean redshift,subset
1,10518,0.6120013525596374,source
1,6082,0.7004239644021535,target
2,4569,0.8841282028262555,source
2,12031,0.8790523608524843,target
3,2580,0.9695906569178376,source
3,14020,0.9697862477516506,target
4,1640,1.1064781594726367,source
4,14960,1.1220135999948755,target
5,693,1.495000810080601,source
5,15907,1.5890378272816743,target
0,20000,0.7914407811352213,source
0,63000,1.1189588709981144,target
