epsilon,delta,nXbest_J,nZbest_I,bandwidth,nearestNeighbors,alpha
0.05,0.1,3960.0,51.0,0.0002223111111111111,2.0,0.0
0.05,0.1,1605.0,47.0,0.0002223111111111111,2.0,0.0
0.05,0.1,941.0,44.0,0.0002223111111111111,2.0,0.0
0.05,0.025,558.0,40.0,0.0002223111111111111,2.0,0.0
0.10833333333333334,0.3,299.0,29.0,0.0002223111111111111,2.0,0.04081632653061224
