ks,smd
"(ks_all = Dict{Any, Any}(""ug"" => 0.10902754576971047, ""gr"" => 0.0957409477459595, ""r"" => 0.3463952652157632, ""ri"" => 0.023370312267178082, ""iz"" => 0.05231700949043962, ""zy"" => 0.05355017211377225), mean = 0.11340020876713718, sd = 0.11835221366419876)","(smd = Dict{Any, Any}(""ug"" => 0.25783287324389326, ""gr"" => 0.18232437799375675, ""r"" => 0.5671412027584332, ""ri"" => 0.03088877973943209, ""iz"" => 0.08774868436607923, ""zy"" => 0.07855535398719561), mean = 0.20074854534813172, sd = 0.19717714594129374)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.010825357612408623, ""gr"" => 0.013742185936494842, ""r"" => 0.11301709658308112, ""ri"" => 0.009487600964597906, ""iz"" => 0.019722851008719754, ""zy"" => 0.013937148104610983), mean = 0.03012204003498554, sd = 0.0407630369522906)","(smd = Dict{Any, Any}(""ug"" => 0.00444427957594259, ""gr"" => 0.014345804749355689, ""r"" => 0.25449135486464786, ""ri"" => 0.005509669970214035, ""iz"" => 0.032107817652708634, ""zy"" => 0.015907258006839096), mean = 0.054467697469951316, sd = 0.09849399200410903)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.020168308838977533, ""gr"" => 0.023515686339559593, ""r"" => 0.0774071370909855, ""ri"" => 0.027292129737142075, ""iz"" => 0.026967012794568954, ""zy"" => 0.023786617125037626), mean = 0.03318948198771188, sd = 0.021818551965225454)","(smd = Dict{Any, Any}(""ug"" => 0.00826085761198055, ""gr"" => 0.029999851767007736, ""r"" => 0.17032855380538184, ""ri"" => 0.028564982580153997, ""iz"" => 0.014485584034018917, ""zy"" => 0.046477434691401275), mean = 0.04968621074832405, sd = 0.06058658959688039)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.0236891874266348, ""gr"" => 0.029904134602844044, ""r"" => 0.0663509195252262, ""ri"" => 0.019541541672101898, ""iz"" => 0.027262945089338138, ""zy"" => 0.022199034824572843), mean = 0.03149129385678632, sd = 0.017467724691469365)","(smd = Dict{Any, Any}(""ug"" => 0.035401394897046606, ""gr"" => 0.0111887592938591, ""r"" => 0.14277275277511084, ""ri"" => 0.017741623942710165, ""iz"" => 0.026612066877648822, ""zy"" => 0.03194714238093198), mean = 0.04427729002788459, sd = 0.049077943695365986)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.05292024321383897, ""gr"" => 0.0579862151497539, ""r"" => 0.24960205654241363, ""ri"" => 0.0497732536457632, ""iz"" => 0.0995280921728496, ""zy"" => 0.07148712787741009), mean = 0.09688283143367156, sd = 0.07699359599601807)","(smd = Dict{Any, Any}(""ug"" => 0.11385384551895676, ""gr"" => 0.1444034857732648, ""r"" => 0.6400728822954138, ""ri"" => 0.07241818791919138, ""iz"" => 0.2137258490291649, ""zy"" => 0.19583199497808876), mean = 0.2300510409190134, sd = 0.20748049241660674)"
