epsilon,delta,nXbest_J,nZbest_I,bandwidth,nearestNeighbors,alpha
0.05,0.125,4126.0,52.0,0.0002223111111111111,2.0,0.0
0.05,0.075,1768.0,47.0,0.0002223111111111111,2.0,0.0
0.05,0.075,704.0,42.0,0.0002223111111111111,2.0,0.0
0.05,0.075,556.0,39.0,0.0002223111111111111,2.0,0.0
0.225,0.325,172.0,23.0,0.0002223111111111111,2.0,0.0
