group,# samples,mean redshift,subset
1,11039,0.565349349230185,source
1,5561,0.6550920435091568,target
2,4691,0.8368735254960199,source
2,11909,0.8470222140002056,target
3,2424,0.9604634313990229,source
3,14176,0.955836475526649,target
4,1381,1.069225753522394,source
4,15219,1.0839242243234757,target
5,465,1.4442597745844685,source
5,16135,1.5382319938305768,target
0,20000,0.7321505046380639,source
0,63000,1.088820766158476,target
