ks,smd
"(ks_all = Dict{Any, Any}(""ug"" => 0.12752344807349145, ""gr"" => 0.1099886021473126, ""r"" => 0.38320716374636765, ""ri"" => 0.026996550898916855, ""iz"" => 0.07366149594450665, ""zy"" => 0.053826798609544806), mean = 0.12920067657002332, sd = 0.12969403825486348)","(smd = Dict{Any, Any}(""ug"" => 0.30673843855655625, ""gr"" => 0.20597024991604393, ""r"" => 0.7710651670967551, ""ri"" => 0.012752517352698082, ""iz"" => 0.09719957167654363, ""zy"" => 0.06520502930873738), mean = 0.2431551623178891, sd = 0.2793453729552693)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.017876575184597187, ""gr"" => 0.012750102617698966, ""r"" => 0.13241598930452736, ""ri"" => 0.009715400409332355, ""iz"" => 0.014056123285085983, ""zy"" => 0.014786382178833256), mean = 0.03360009549667919, sd = 0.04848284950604916)","(smd = Dict{Any, Any}(""ug"" => 0.006307974753305841, ""gr"" => 0.0008434217516767354, ""r"" => 0.29894608770909337, ""ri"" => 0.0033626841094152155, ""iz"" => 0.013860857913090389, ""zy"" => 0.006411753054018446), mean = 0.054955463215099996, sd = 0.11961035845020074)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.02106078976972161, ""gr"" => 0.021795308763381184, ""r"" => 0.09267953460130567, ""ri"" => 0.011608659455110103, ""iz"" => 0.02584971392173095, ""zy"" => 0.021828367938374255), mean = 0.032470395741603965, sd = 0.029871642797358846)","(smd = Dict{Any, Any}(""ug"" => 0.027900380379587524, ""gr"" => 0.03152612805416642, ""r"" => 0.19211329168886118, ""ri"" => 0.016407881046186786, ""iz"" => 0.005922685130969214, ""zy"" => 0.01831838181255901), mean = 0.04869812468538836, sd = 0.07083877554492053)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.031472245500515715, ""gr"" => 0.0335821600338662, ""r"" => 0.07311028712871348, ""ri"" => 0.027028221659169935, ""iz"" => 0.024639015248241688, ""zy"" => 0.01929017136674033), mean = 0.03485368348954122, sd = 0.019413494412452728)","(smd = Dict{Any, Any}(""ug"" => 0.051969795164097034, ""gr"" => 0.04338129182476304, ""r"" => 0.1483062706731724, ""ri"" => 0.026249033153643873, ""iz"" => 0.004553501899110869, ""zy"" => 0.001617931822610365), mean = 0.04601297075623293, sd = 0.054012496643486056)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.05654307906074952, ""gr"" => 0.09736597458936366, ""r"" => 0.27260247041930313, ""ri"" => 0.08304660608907052, ""iz"" => 0.12905225066722975, ""zy"" => 0.06745570805468715), mean = 0.1176776814800673, sd = 0.0800032925563926)","(smd = Dict{Any, Any}(""ug"" => 0.11611154736779876, ""gr"" => 0.22484912926299586, ""r"" => 0.6352435053549089, ""ri"" => 0.1401552558519263, ""iz"" => 0.2551399554425861, ""zy"" => 0.16215026819466216), mean = 0.25560827691247967, sd = 0.19317991002318405)"
