ks,smd
"(ks_all = Dict{Any, Any}(""ug"" => 0.09773493976054169, ""gr"" => 0.08694663584895827, ""r"" => 0.3365008342061397, ""ri"" => 0.018067093094640652, ""iz"" => 0.06024582016008538, ""zy"" => 0.0551480433296263), mean = 0.109107227733332, sd = 0.11481777726266526)","(smd = Dict{Any, Any}(""ug"" => 0.23362898012979189, ""gr"" => 0.1591972839105023, ""r"" => 0.6325866845232196, ""ri"" => 0.01565607484729682, ""iz"" => 0.08615030433776114, ""zy"" => 0.07273718956442513), mean = 0.19999275288549948, sd = 0.22497433992327592)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.015811542373146276, ""gr"" => 0.011048050086723405, ""r"" => 0.1099796128076409, ""ri"" => 0.013703158286201651, ""iz"" => 0.01398902953291663, ""zy"" => 0.01583027827800166), mean = 0.030060278560771755, sd = 0.03919164359400222)","(smd = Dict{Any, Any}(""ug"" => 0.009003118482642096, ""gr"" => 0.0003459258836756807, ""r"" => 0.2537695157926419, ""ri"" => 0.01628318080920926, ""iz"" => 0.005245252433084679, ""zy"" => 0.003511781653837027), mean = 0.04802646250918177, sd = 0.10094145194777294)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.02410485753663412, ""gr"" => 0.014461011811694624, ""r"" => 0.0707435957253559, ""ri"" => 0.03243541953107092, ""iz"" => 0.014465148138405768, ""zy"" => 0.01349228409615543), mean = 0.028283719473219462, sd = 0.022083239405247226)","(smd = Dict{Any, Any}(""ug"" => 0.03403536102808949, ""gr"" => 0.02263008888128524, ""r"" => 0.15274464614570948, ""ri"" => 0.05428413987078564, ""iz"" => 0.013392147993379292, ""zy"" => 0.019123746835792568), mean = 0.04936835512584028, sd = 0.052668552068014664)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.015055489970283465, ""gr"" => 0.015239508642969858, ""r"" => 0.08240968300518688, ""ri"" => 0.02407787718534972, ""iz"" => 0.027907662026537536, ""zy"" => 0.019745739482774298), mean = 0.030739326718850296, sd = 0.025804282626852183)","(smd = Dict{Any, Any}(""ug"" => 0.009282982652146226, ""gr"" => 0.007079739404152052, ""r"" => 0.17188372417979308, ""ri"" => 0.009620963774900845, ""iz"" => 0.03283759304768068, ""zy"" => 0.003619213921794486), mean = 0.03905403616341122, sd = 0.06589836696228897)"
"(ks_all = Dict{Any, Any}(""ug"" => 0.07591504468110147, ""gr"" => 0.06746235769370387, ""r"" => 0.23896743787487054, ""ri"" => 0.0740329293671082, ""iz"" => 0.09854021300035688, ""zy"" => 0.1020075896682445), mean = 0.10948759538089758, sd = 0.06494781810656305)","(smd = Dict{Any, Any}(""ug"" => 0.1272979818253924, ""gr"" => 0.1366013620000606, ""r"" => 0.6078839216600341, ""ri"" => 0.1612496658617776, ""iz"" => 0.2909235814339213, ""zy"" => 0.2679970081697527), mean = 0.26532558682515645, sd = 0.1813625924539033)"
