epsilon,delta,nXbest_J,nZbest_I,bandwidth,nearestNeighbors,alpha
0.05,0.075,3796.0,49.0,0.0002223111111111111,2.0,0.0
0.05,0.1,1446.0,47.0,0.0002223111111111111,2.0,0.0
0.05,0.1,930.0,45.0,0.0002223111111111111,2.0,0.0
0.05,0.1,684.0,42.0,0.0002223111111111111,2.0,0.0
0.10833333333333334,0.25,377.0,30.0,0.0002223111111111111,2.0,0.0
