group,# samples,mean redshift,subset
1,9953,0.6290617207254076,source
1,6447,0.7067160973992241,target
2,4534,0.8951115967413136,source
2,11866,0.9031971143569318,target
3,2856,0.9715919821339618,source
3,13544,0.9789955549276945,target
4,1817,1.1247349082738143,source
4,14583,1.12032593951086,target
5,840,1.4829804995049445,source
5,15560,1.5928302344190672,target
0,20000,0.8191850467448683,source
0,62000,1.1234710170690387,target
